"filename", "language", "C++", "JSON with Comments", "Markdown", "JSON", "C#", "TypeScript JSX", "Python", "Rust", "pip requirements", "comment", "blank", "total"
"c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\lib.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 6, 0, 31, 2, 39
"c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\runner.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 290, 0, 94, 62, 446
"c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\systems\ai_system.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 96, 0, 39, 31, 166
"c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\systems\damage_system.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 77, 0, 32, 21, 130
"c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\systems\death_system.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 52, 0, 26, 16, 94
"c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\systems\input_system.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 53, 0, 27, 18, 98
"c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\systems\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 5, 0, 8, 1, 14
"c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\systems\movement_system.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 63, 0, 25, 20, 108
"c:\Users\ankit\Downloads\xace\package.json", "JSON", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\ankit\Downloads\xace\packages\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\packages\asset registry\animation_contract.py", "Python", 0, 0, 0, 0, 0, 0, 206, 0, 0, 95, 54, 355
"c:\Users\ankit\Downloads\xace\packages\asset registry\animation_contract_generator.py", "Python", 0, 0, 0, 0, 0, 0, 222, 0, 0, 129, 46, 397
"c:\Users\ankit\Downloads\xace\packages\asset registry\asset_cleanup_manager.py", "Python", 0, 0, 0, 0, 0, 0, 126, 0, 0, 119, 41, 286
"c:\Users\ankit\Downloads\xace\packages\asset registry\asset_linker.py", "Python", 0, 0, 0, 0, 0, 0, 171, 0, 0, 82, 40, 293
"c:\Users\ankit\Downloads\xace\packages\asset registry\asset_manifest.py", "Python", 0, 0, 0, 0, 0, 0, 198, 0, 0, 124, 52, 374
"c:\Users\ankit\Downloads\xace\packages\asset registry\asset_naming_policy.py", "Python", 0, 0, 0, 0, 0, 0, 130, 0, 0, 108, 28, 266
"c:\Users\ankit\Downloads\xace\packages\asset registry\asset_reference.py", "Python", 0, 0, 0, 0, 0, 0, 111, 0, 0, 79, 30, 220
"c:\Users\ankit\Downloads\xace\packages\asset registry\asset_registry_manager.py", "Python", 0, 0, 0, 0, 0, 0, 203, 0, 0, 123, 61, 387
"c:\Users\ankit\Downloads\xace\packages\asset registry\asset_report.py", "Python", 0, 0, 0, 0, 0, 0, 231, 0, 0, 80, 54, 365
"c:\Users\ankit\Downloads\xace\packages\asset registry\asset_status_enum.py", "Python", 0, 0, 0, 0, 0, 0, 62, 0, 0, 89, 17, 168
"c:\Users\ankit\Downloads\xace\packages\asset registry\asset_type_enum.py", "Python", 0, 0, 0, 0, 0, 0, 54, 0, 0, 91, 26, 171
"c:\Users\ankit\Downloads\xace\packages\asset registry\asset_validator.py", "Python", 0, 0, 0, 0, 0, 0, 235, 0, 0, 86, 39, 360
"c:\Users\ankit\Downloads\xace\packages\asset registry\audio_manifest.py", "Python", 0, 0, 0, 0, 0, 0, 277, 0, 0, 99, 64, 440
"c:\Users\ankit\Downloads\xace\packages\asset registry\engine_sync_receiver.py", "Python", 0, 0, 0, 0, 0, 0, 143, 0, 0, 104, 39, 286
"c:\Users\ankit\Downloads\xace\packages\asset registry\game_config_loader.py", "Python", 0, 0, 0, 0, 0, 0, 214, 0, 0, 120, 57, 391
"c:\Users\ankit\Downloads\xace\packages\asset registry\placeholder_registry.py", "Python", 0, 0, 0, 0, 0, 0, 136, 0, 0, 102, 45, 283
"c:\Users\ankit\Downloads\xace\packages\asset registry\tests\test_asset_manifest.py", "Python", 0, 0, 0, 0, 0, 0, 685, 0, 0, 49, 134, 868
"c:\Users\ankit\Downloads\xace\packages\asset registry\tests\test_asset_validation.py", "Python", 0, 0, 0, 0, 0, 0, 781, 0, 0, 58, 150, 989
"c:\Users\ankit\Downloads\xace\packages\core\src\assets\asset_reference.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 122, 0, 84, 27, 233
"c:\Users\ankit\Downloads\xace\packages\core\src\assets\asset_status.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 119, 0, 88, 26, 233
"c:\Users\ankit\Downloads\xace\packages\core\src\assets\asset_type.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 133, 0, 77, 30, 240
"c:\Users\ankit\Downloads\xace\packages\core\src\assets\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 6, 0, 3, 2, 11
"c:\Users\ankit\Downloads\xace\packages\core\src\contracts\interfaces.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 314, 0, 399, 109, 822
"c:\Users\ankit\Downloads\xace\packages\core\src\contracts\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 16, 0, 2, 2, 20
"c:\Users\ankit\Downloads\xace\packages\core\src\entity_id.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 63, 0, 69, 20, 152
"c:\Users\ankit\Downloads\xace\packages\core\src\entity_metadata.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 178, 0, 93, 36, 307
"c:\Users\ankit\Downloads\xace\packages\core\src\entity_state.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 100, 0, 67, 21, 188
"c:\Users\ankit\Downloads\xace\packages\core\src\errors\determinism_error.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 363, 0, 140, 68, 571
"c:\Users\ankit\Downloads\xace\packages\core\src\errors\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 2, 8
"c:\Users\ankit\Downloads\xace\packages\core\src\errors\xace_error.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 386, 0, 181, 59, 626
"c:\Users\ankit\Downloads\xace\packages\core\src\events\event_struct.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 310, 0, 142, 55, 507
"c:\Users\ankit\Downloads\xace\packages\core\src\events\event_type.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 195, 0, 120, 50, 365
"c:\Users\ankit\Downloads\xace\packages\core\src\events\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 2, 8
"c:\Users\ankit\Downloads\xace\packages\core\src\lib.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 11, 0, 3, 2, 16
"c:\Users\ankit\Downloads\xace\packages\core\src\mutation\dsl_operation.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 457, 0, 175, 70, 702
"c:\Users\ankit\Downloads\xace\packages\core\src\mutation\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 8, 0, 3, 2, 13
"c:\Users\ankit\Downloads\xace\packages\core\src\mutation\mutation_transaction.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 427, 0, 163, 78, 668
"c:\Users\ankit\Downloads\xace\packages\core\src\mutation\schema_delta.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 307, 0, 99, 57, 463
"c:\Users\ankit\Downloads\xace\packages\core\src\mutation\usmc_categories.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 127, 0, 117, 29, 273
"c:\Users\ankit\Downloads\xace\packages\core\src\runtime\execution_group.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 279, 0, 100, 38, 417
"c:\Users\ankit\Downloads\xace\packages\core\src\runtime\execution_plan.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 340, 0, 128, 61, 529
"c:\Users\ankit\Downloads\xace\packages\core\src\runtime\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 10, 0, 2, 2, 14
"c:\Users\ankit\Downloads\xace\packages\core\src\runtime\phase_enum.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 179, 0, 89, 32, 300
"c:\Users\ankit\Downloads\xace\packages\core\src\runtime\state_delta.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 324, 0, 155, 66, 545
"c:\Users\ankit\Downloads\xace\packages\core\src\runtime\world_snapshot.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 503, 0, 226, 103, 832
"c:\Users\ankit\Downloads\xace\packages\core\src\schema\actor_definition.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 298, 0, 149, 61, 508
"c:\Users\ankit\Downloads\xace\packages\core\src\schema\canonical_game_schema.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 266, 0, 133, 57, 456
"c:\Users\ankit\Downloads\xace\packages\core\src\schema\game_mode.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 191, 0, 106, 44, 341
"c:\Users\ankit\Downloads\xace\packages\core\src\schema\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 12, 0, 2, 3, 17
"c:\Users\ankit\Downloads\xace\packages\core\src\schema\rule_definition.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 304, 0, 167, 64, 535
"c:\Users\ankit\Downloads\xace\packages\core\src\schema\system_definition.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 347, 0, 153, 70, 570
"c:\Users\ankit\Downloads\xace\packages\core\src\schema\world_definition.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 313, 0, 155, 82, 550
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\ai_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\animation_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\authority_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 210, 0, 111, 50, 371
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\camera_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\collider_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 211, 0, 102, 58, 371
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\damage_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\event_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 196, 0, 128, 43, 367
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\game_state_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 237, 0, 109, 58, 404
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\health_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\identity_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 159, 0, 71, 31, 261
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\input_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 152, 0, 93, 39, 284
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\interaction_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\inventory_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\lifetime_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 208, 0, 87, 41, 336
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 26, 0, 1, 1, 28
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\movement_intent_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\persistence_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\render_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 182, 0, 104, 44, 330
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\rigidbody_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\spawner_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\stats_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\surface_properties_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\transform_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 111, 0, 46, 27, 184
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\trigger_zone_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\ucl_registry.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 289, 0, 119, 54, 462
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\velocity_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 174, 0, 79, 38, 291
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\world_streaming_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\wire\delta_payload.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 347, 0, 153, 74, 574
"c:\Users\ankit\Downloads\xace\packages\core\src\wire\feedback_payload.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 287, 0, 171, 81, 539
"c:\Users\ankit\Downloads\xace\packages\core\src\wire\message_type.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 129, 0, 88, 26, 243
"c:\Users\ankit\Downloads\xace\packages\core\src\wire\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 10, 0, 2, 2, 14
"c:\Users\ankit\Downloads\xace\packages\core\src\wire\snapshot_payload.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 329, 0, 142, 68, 539
"c:\Users\ankit\Downloads\xace\packages\core\src\wire\wire_message.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 373, 0, 130, 58, 561
"c:\Users\ankit\Downloads\xace\packages\dcl\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\ankit\Downloads\xace\packages\dcl\ai\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 174, 0, 0, 12, 3, 189
"c:\Users\ankit\Downloads\xace\packages\dcl\audio\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 146, 0, 0, 11, 3, 160
"c:\Users\ankit\Downloads\xace\packages\dcl\camera\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 131, 0, 0, 10, 3, 144
"c:\Users\ankit\Downloads\xace\packages\dcl\character\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 257, 0, 0, 15, 3, 275
"c:\Users\ankit\Downloads\xace\packages\dcl\combat\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 213, 0, 0, 12, 2, 227
"c:\Users\ankit\Downloads\xace\packages\dcl\dcl_loader.py", "Python", 0, 0, 0, 0, 0, 0, 356, 0, 0, 215, 87, 658
"c:\Users\ankit\Downloads\xace\packages\dcl\dcl_registry.py", "Python", 0, 0, 0, 0, 0, 0, 500, 0, 0, 185, 79, 764
"c:\Users\ankit\Downloads\xace\packages\dcl\domain_package.py", "Python", 0, 0, 0, 0, 0, 0, 349, 0, 0, 145, 74, 568
"c:\Users\ankit\Downloads\xace\packages\dcl\gcl_loader.py", "Python", 0, 0, 0, 0, 0, 0, 357, 0, 0, 144, 65, 566
"c:\Users\ankit\Downloads\xace\packages\dcl\gcl_validator.py", "Python", 0, 0, 0, 0, 0, 0, 402, 0, 0, 119, 71, 592
"c:\Users\ankit\Downloads\xace\packages\dcl\interaction\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 153, 0, 0, 11, 3, 167
"c:\Users\ankit\Downloads\xace\packages\dcl\network\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 113, 0, 0, 10, 3, 126
"c:\Users\ankit\Downloads\xace\packages\dcl\persistence\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 146, 0, 0, 11, 3, 160
"c:\Users\ankit\Downloads\xace\packages\dcl\physics\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 160, 0, 0, 11, 3, 174
"c:\Users\ankit\Downloads\xace\packages\dcl\rpg\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 162, 0, 0, 12, 3, 177
"c:\Users\ankit\Downloads\xace\packages\dcl\stealth\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 116, 0, 0, 10, 3, 129
"c:\Users\ankit\Downloads\xace\packages\dcl\ui\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 114, 0, 0, 10, 2, 126
"c:\Users\ankit\Downloads\xace\packages\dcl\world\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 226, 0, 0, 13, 3, 242
"c:\Users\ankit\Downloads\xace\packages\engine-adapter\src\adapter_contract\adapter_authority_enforcer.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 380, 0, 141, 84, 605
"c:\Users\ankit\Downloads\xace\packages\engine-adapter\src\adapter_contract\engine_adapter_interface.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 583, 0, 171, 121, 875
"c:\Users\ankit\Downloads\xace\packages\engine-adapter\src\adapter_contract\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"c:\Users\ankit\Downloads\xace\packages\engine-adapter\src\delta_sync\delta_builder.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 239, 0, 65, 44, 348
"c:\Users\ankit\Downloads\xace\packages\engine-adapter\src\delta_sync\delta_compressor.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 333, 0, 132, 98, 563
"c:\Users\ankit\Downloads\xace\packages\engine-adapter\src\delta_sync\delta_sync_engine.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 321, 0, 117, 90, 528
"c:\Users\ankit\Downloads\xace\packages\engine-adapter\src\delta_sync\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"c:\Users\ankit\Downloads\xace\packages\engine-adapter\src\delta_sync\resync_detector.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 380, 0, 145, 79, 604
"c:\Users\ankit\Downloads\xace\packages\engine-adapter\src\delta_sync\snapshot_recovery.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 274, 0, 98, 57, 429
"c:\Users\ankit\Downloads\xace\packages\engine-adapter\src\lib.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 2, 8
"c:\Users\ankit\Downloads\xace\packages\engine-adapter\src\tests\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 8
"c:\Users\ankit\Downloads\xace\packages\engine-adapter\src\tests\test_delta_sync.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 461, 0, 38, 66, 565
"c:\Users\ankit\Downloads\xace\packages\engine-adapter\src\tests\test_delta_sync_integration.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 691, 0, 110, 137, 938
"c:\Users\ankit\Downloads\xace\packages\engine-adapter\src\tests\test_protocol_handshake.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 251, 0, 46, 50, 347
"c:\Users\ankit\Downloads\xace\packages\engine-adapter\src\tests\test_transport.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 412, 0, 36, 65, 513
"c:\Users\ankit\Downloads\xace\packages\engine-adapter\src\transport\message_deserializer.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 409, 0, 143, 77, 629
"c:\Users\ankit\Downloads\xace\packages\engine-adapter\src\transport\message_serializer.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 375, 0, 130, 72, 577
"c:\Users\ankit\Downloads\xace\packages\engine-adapter\src\transport\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\ankit\Downloads\xace\packages\engine-adapter\src\transport\protocol_handshake.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 669, 0, 230, 153, 1052
"c:\Users\ankit\Downloads\xace\packages\engine-adapter\src\transport\sequence_tracker.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 651, 0, 204, 122, 977
"c:\Users\ankit\Downloads\xace\packages\engine-adapter\src\transport\shm_transport.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 278, 0, 0, 44, 322
"c:\Users\ankit\Downloads\xace\packages\engine-adapter\src\transport\tcp_transport.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 588, 0, 192, 115, 895
"c:\Users\ankit\Downloads\xace\packages\engine-feedback\src\feedback_buffer.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 277, 0, 103, 63, 443
"c:\Users\ankit\Downloads\xace\packages\engine-feedback\src\feedback_log.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 267, 0, 99, 72, 438
"c:\Users\ankit\Downloads\xace\packages\engine-feedback\src\feedback_message.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 267, 0, 52, 41, 360
"c:\Users\ankit\Downloads\xace\packages\engine-feedback\src\feedback_replay_loader.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 308, 0, 101, 74, 483
"c:\Users\ankit\Downloads\xace\packages\engine-feedback\src\feedback_router.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 272, 0, 132, 62, 466
"c:\Users\ankit\Downloads\xace\packages\engine-feedback\src\feedback_type_enum.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 169, 0, 60, 34, 263
"c:\Users\ankit\Downloads\xace\packages\engine-feedback\src\feedback_validator.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 330, 0, 95, 69, 494
"c:\Users\ankit\Downloads\xace\packages\engine-feedback\src\handlers\animation_feedback_handler.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 161, 0, 54, 30, 245
"c:\Users\ankit\Downloads\xace\packages\engine-feedback\src\handlers\audio_feedback_handler.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 184, 0, 30, 36, 250
"c:\Users\ankit\Downloads\xace\packages\engine-feedback\src\handlers\input_feedback_handler.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 123, 0, 40, 25, 188
"c:\Users\ankit\Downloads\xace\packages\engine-feedback\src\handlers\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\ankit\Downloads\xace\packages\engine-feedback\src\handlers\performance_feedback_handler.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 209, 0, 42, 41, 292
